Order_ID,Date,Region,Category,Product,Unit_Price,Quantity,Gross_Sales,Discount,Net_Revenue,Profit,Sales_Channel
ORD-1225,2023-03-06,LATAM,Office Supplies,Standing Desk,284.28,12,3411.33,0.0,3411.33,1436.36,Reseller
ORD-1084,2023-03-07,Asia-Pacific,Furniture,Coffee Table,254.56,2,509.12,0.0,509.12,215.37,Online Retail
ORD-1147,2023-03-10,North America,Office Supplies,Whiteboard Pack,119.66,3,358.98,0.1,323.08,88.34,Reseller
ORD-1062,2023-03-10,Asia-Pacific,Software,Cloud Storage Sub,352.63,4,1410.53,0.15,1198.95,304.13,Enterprise
ORD-1067,2023-03-11,LATAM,Furniture,Coffee Table,163.64,7,1145.45,0.0,1145.45,375.81,Direct
ORD-1220,2023-03-17,Asia-Pacific,Software,Cloud Storage Sub,463.41,1,463.41,0.0,463.41,186.44,Online Retail
ORD-1109,2023-03-17,Asia-Pacific,Furniture,Modern Sofa,294.21,12,3530.48,0.1,3177.43,1617.2,Enterprise
ORD-1049,2023-03-17,Europe,Software,Design Suite,104.07,13,1352.96,0.0,1352.96,793.11,Direct
ORD-1094,2023-03-19,Europe,Electronics,Laptop Pro,305.13,3,915.38,0.05,869.61,257.62,Online Retail
ORD-1136,2023-03-26,Asia-Pacific,Software,Cloud Storage Sub,312.37,12,3748.42,0.05,3561.0,1037.61,Reseller
ORD-1132,2023-03-28,LATAM,Software,CRM Enterprise,346.52,1,346.52,0.0,346.52,181.52,Reseller
ORD-1202,2023-04-03,North America,Furniture,Dining Set,349.94,10,3499.44,0.05,3324.46,1477.99,Direct
ORD-1050,2023-04-04,LATAM,Electronics,Smartwatch Elite,252.73,5,1263.63,0.0,1263.63,692.52,Enterprise
ORD-1101,2023-04-05,North America,Furniture,Coffee Table,26.93,5,134.66,0.2,107.73,49.34,Reseller
ORD-1037,2023-04-05,Asia-Pacific,Software,Cloud Storage Sub,182.5,5,912.51,0.0,912.51,474.01,Enterprise
ORD-1059,2023-04-06,Middle East,Software,Cloud Storage Sub,387.89,9,3491.03,0.0,3491.03,1699.02,Reseller
ORD-1223,2023-04-08,Middle East,Office Supplies,Mechanical Keyboard,273.69,6,1642.11,0.15,1395.8,306.47,Enterprise
ORD-1183,2023-04-09,Middle East,Electronics,Noise-Cancelling Headphones,984.55,13,12799.15,0.0,12799.15,4454.31,Reseller
ORD-1107,2023-04-11,North America,Electronics,Smartphone X,646.82,6,3880.95,0.0,3880.95,1922.39,Reseller
ORD-1044,2023-04-11,North America,Software,Cloud Storage Sub,147.12,5,735.6,0.0,735.6,255.54,Enterprise
ORD-1192,2023-04-12,North America,Software,Design Suite,387.12,9,3484.1,0.0,3484.1,1059.17,Online Retail
ORD-1000,2023-04-13,LATAM,Electronics,Noise-Cancelling Headphones,968.68,5,4843.38,0.0,4843.38,2679.36,Reseller
ORD-1156,2023-04-13,North America,Office Supplies,Standing Desk,107.4,12,1288.84,0.0,1288.84,431.12,Enterprise
ORD-1031,2023-04-14,LATAM,Office Supplies,Standing Desk,58.56,3,175.68,0.2,140.54,55.31,Enterprise
ORD-1121,2023-04-16,North America,Software,Design Suite,81.01,3,243.04,0.05,230.89,65.55,Online Retail
ORD-1238,2023-04-18,Europe,Electronics,Noise-Cancelling Headphones,250.5,5,1252.5,0.05,1189.88,460.76,Direct
ORD-1088,2023-04-21,North America,Furniture,Coffee Table,77.72,6,466.34,0.05,443.02,231.29,Enterprise
ORD-1022,2023-04-23,Middle East,Electronics,Smartwatch Elite,430.12,2,860.24,0.0,860.24,502.86,Direct
ORD-1172,2023-04-24,Middle East,Software,CRM Enterprise,457.93,3,1373.79,0.0,1373.79,544.84,Direct
ORD-1070,2023-04-27,Europe,Software,Cloud Storage Sub,300.2,5,1501.01,0.0,1501.01,484.24,Enterprise
ORD-1230,2023-04-27,LATAM,Furniture,Modern Sofa,372.27,4,1489.09,0.15,1265.73,513.01,Enterprise
ORD-1104,2023-04-28,LATAM,Furniture,Dining Set,299.77,12,3597.29,0.0,3597.29,1499.4,Direct
ORD-1128,2023-04-28,LATAM,Furniture,Modern Sofa,210.83,1,210.83,0.0,210.83,101.37,Enterprise
ORD-1096,2023-04-29,Middle East,Software,CRM Enterprise,194.94,7,1364.55,0.0,1364.55,599.58,Reseller
ORD-1077,2023-04-29,North America,Office Supplies,Ergonomic Chair,395.16,1,395.16,0.0,395.16,148.24,Online Retail
ORD-1247,2023-05-01,LATAM,Electronics,Smartwatch Elite,1180.3,3,3540.89,0.15,3009.76,1344.15,Enterprise
ORD-1216,2023-05-06,Europe,Electronics,Laptop Pro,1061.31,8,8490.51,0.0,8490.51,3849.14,Direct
ORD-1047,2023-05-09,Europe,Office Supplies,Ergonomic Chair,115.09,14,1611.29,0.0,1611.29,878.38,Reseller
ORD-1014,2023-05-11,North America,Electronics,Laptop Pro,959.52,7,6716.61,0.0,6716.61,2597.99,Reseller
ORD-1232,2023-05-16,Europe,Software,CRM Enterprise,229.96,13,2989.45,0.0,2989.45,1684.36,Online Retail
ORD-1235,2023-05-21,Middle East,Office Supplies,Whiteboard Pack,321.62,10,3216.23,0.0,3216.23,1581.64,Direct
ORD-1072,2023-05-23,North America,Electronics,Laptop Pro,553.41,7,3873.88,0.0,3873.88,1997.8,Online Retail
ORD-1042,2023-05-23,LATAM,Office Supplies,Mechanical Keyboard,239.75,6,1438.48,0.0,1438.48,796.18,Enterprise
ORD-1153,2023-05-23,Asia-Pacific,Office Supplies,Ergonomic Chair,274.57,10,2745.69,0.0,2745.69,824.24,Direct
ORD-1046,2023-05-25,Asia-Pacific,Software,CRM Enterprise,162.89,10,1628.87,0.2,1303.1,243.04,Reseller
ORD-1200,2023-05-27,LATAM,Electronics,Smartwatch Elite,979.18,7,6854.28,0.0,6854.28,3780.13,Direct
ORD-1152,2023-05-29,North America,Furniture,Modern Sofa,262.15,8,2097.18,0.0,2097.18,950.39,Online Retail
ORD-1249,2023-05-29,LATAM,Office Supplies,Mechanical Keyboard,319.4,1,319.4,0.05,303.43,127.11,Online Retail
ORD-1127,2023-05-30,Europe,Software,CRM Enterprise,281.83,1,281.83,0.2,225.46,100.16,Direct
ORD-1100,2023-05-30,Middle East,Office Supplies,Mechanical Keyboard,205.37,14,2875.15,0.0,2875.15,1479.18,Reseller
ORD-1028,2023-05-31,Europe,Furniture,Coffee Table,86.48,9,778.35,0.0,778.35,406.1,Enterprise
ORD-1126,2023-06-01,North America,Furniture,Dining Set,32.87,1,32.87,0.0,32.87,14.0,Online Retail
ORD-1228,2023-06-02,LATAM,Electronics,Laptop Pro,759.18,12,9110.17,0.0,9110.17,4388.28,Enterprise
ORD-1082,2023-06-03,Europe,Office Supplies,Mechanical Keyboard,335.92,2,671.84,0.15,571.07,191.09,Online Retail
ORD-1176,2023-06-07,Europe,Software,CRM Enterprise,390.49,12,4685.83,0.0,4685.83,2408.0,Online Retail
ORD-1116,2023-06-08,LATAM,Electronics,Smartwatch Elite,567.15,13,7372.97,0.0,7372.97,3348.01,Enterprise
ORD-1193,2023-06-09,LATAM,Software,Cloud Storage Sub,399.11,2,798.22,0.0,798.22,354.96,Online Retail
ORD-1239,2023-06-09,Asia-Pacific,Office Supplies,Ergonomic Chair,260.17,9,2341.49,0.0,2341.49,711.03,Online Retail
ORD-1021,2023-06-09,North America,Software,Cloud Storage Sub,487.3,4,1949.21,0.0,1949.21,762.35,Online Retail
ORD-1222,2023-06-10,North America,Electronics,Smartwatch Elite,971.5,13,12629.56,0.0,12629.56,7164.34,Direct
ORD-1215,2023-06-10,North America,Furniture,Bookshelf,76.37,5,381.85,0.0,381.85,150.53,Enterprise
ORD-1178,2023-06-12,Asia-Pacific,Office Supplies,Standing Desk,184.25,2,368.5,0.0,368.5,151.16,Online Retail
ORD-1209,2023-06-12,Middle East,Electronics,Noise-Cancelling Headphones,962.15,8,7697.17,0.0,7697.17,4070.97,Direct
ORD-1146,2023-06-13,North America,Furniture,Coffee Table,235.23,2,470.47,0.0,470.47,147.62,Enterprise
ORD-1135,2023-06-14,Middle East,Office Supplies,Standing Desk,360.61,7,2524.25,0.05,2398.04,831.06,Reseller
ORD-1080,2023-06-14,Europe,Office Supplies,Standing Desk,111.61,9,1004.51,0.0,1004.51,315.2,Direct
ORD-1236,2023-06-19,North America,Office Supplies,Standing Desk,134.78,8,1078.26,0.1,970.44,402.06,Direct
ORD-1157,2023-06-20,Europe,Furniture,Coffee Table,237.52,8,1900.18,0.0,1900.18,689.35,Enterprise
ORD-1245,2023-06-21,Europe,Office Supplies,Ergonomic Chair,297.65,14,4167.06,0.0,4167.06,1774.57,Reseller
ORD-1150,2023-06-21,Asia-Pacific,Office Supplies,Mechanical Keyboard,59.18,5,295.88,0.0,295.88,96.1,Online Retail
ORD-1144,2023-06-22,North America,Office Supplies,Ergonomic Chair,312.95,14,4381.25,0.0,4381.25,2410.19,Enterprise
ORD-1188,2023-06-23,Europe,Software,Design Suite,408.56,12,4902.71,0.0,4902.71,1587.23,Reseller
ORD-1130,2023-06-24,Europe,Office Supplies,Mechanical Keyboard,202.81,14,2839.39,0.0,2839.39,1571.4,Enterprise
ORD-1004,2023-06-24,Asia-Pacific,Software,Design Suite,316.59,3,949.76,0.15,807.3,233.55,Enterprise
ORD-1184,2023-06-24,LATAM,Office Supplies,Standing Desk,349.86,14,4898.05,0.0,4898.05,2303.55,Reseller
ORD-1171,2023-06-25,Europe,Office Supplies,Mechanical Keyboard,103.67,13,1347.71,0.15,1145.55,205.6,Direct
ORD-1099,2023-06-29,Europe,Software,CRM Enterprise,210.24,13,2733.17,0.0,2733.17,874.32,Reseller
ORD-1089,2023-07-03,North America,Furniture,Dining Set,215.79,2,431.58,0.05,410.0,208.39,Reseller
ORD-1017,2023-07-06,Asia-Pacific,Office Supplies,Whiteboard Pack,257.25,14,3601.56,0.05,3421.49,1039.27,Online Retail
ORD-1175,2023-07-07,Middle East,Furniture,Modern Sofa,196.88,7,1378.15,0.0,1378.15,487.89,Online Retail
ORD-1043,2023-07-09,Middle East,Office Supplies,Mechanical Keyboard,31.59,4,126.36,0.0,126.36,64.32,Online Retail
ORD-1009,2023-07-09,Middle East,Software,Cloud Storage Sub,292.86,8,2342.89,0.0,2342.89,1208.28,Online Retail
ORD-1019,2023-07-09,North America,Electronics,Smartphone X,598.46,4,2393.85,0.0,2393.85,1217.43,Reseller
ORD-1219,2023-07-12,Europe,Furniture,Bookshelf,208.93,1,208.93,0.1,188.03,50.27,Online Retail
ORD-1243,2023-07-15,Middle East,Electronics,Smartwatch Elite,853.08,12,10236.99,0.0,10236.99,4483.77,Online Retail
ORD-1057,2023-07-15,Europe,Electronics,Laptop Pro,1133.48,8,9067.84,0.05,8614.45,2801.56,Direct
ORD-1137,2023-07-16,LATAM,Furniture,Bookshelf,164.28,7,1149.98,0.0,1149.98,403.42,Reseller
ORD-1164,2023-07-17,Asia-Pacific,Office Supplies,Ergonomic Chair,83.47,4,333.89,0.0,333.89,160.11,Online Retail
ORD-1025,2023-07-17,Asia-Pacific,Furniture,Dining Set,337.41,12,4048.98,0.0,4048.98,1584.19,Enterprise
ORD-1020,2023-07-17,Asia-Pacific,Electronics,Laptop Pro,877.06,10,8770.58,0.0,8770.58,2781.39,Direct
ORD-1027,2023-07-18,LATAM,Electronics,Smartphone X,556.07,2,1112.14,0.1,1000.93,330.63,Enterprise
ORD-1237,2023-07-21,North America,Office Supplies,Standing Desk,76.89,7,538.21,0.0,538.21,295.8,Enterprise
ORD-1139,2023-07-21,Asia-Pacific,Office Supplies,Standing Desk,89.2,2,178.4,0.0,178.4,92.66,Enterprise
ORD-1124,2023-07-21,LATAM,Electronics,Smartphone X,500.17,4,2000.7,0.0,2000.7,648.31,Online Retail
ORD-1197,2023-07-23,Europe,Software,CRM Enterprise,202.75,11,2230.28,0.0,2230.28,896.02,Enterprise
ORD-1081,2023-07-24,LATAM,Office Supplies,Ergonomic Chair,307.66,2,615.32,0.0,615.32,348.23,Direct
ORD-1030,2023-07-27,Asia-Pacific,Software,Security Firewall,400.94,8,3207.55,0.15,2726.42,543.07,Online Retail
ORD-1198,2023-07-27,LATAM,Office Supplies,Mechanical Keyboard,191.88,3,575.64,0.0,575.64,317.06,Online Retail
ORD-1187,2023-07-27,Asia-Pacific,Software,Security Firewall,141.67,13,1841.65,0.1,1657.49,494.9,Online Retail
ORD-1125,2023-07-29,Asia-Pacific,Office Supplies,Standing Desk,243.09,11,2673.95,0.0,2673.95,1491.37,Direct
ORD-1158,2023-07-29,North America,Software,Cloud Storage Sub,444.5,2,889.0,0.0,889.0,301.34,Online Retail
ORD-1201,2023-07-30,Middle East,Software,Security Firewall,271.97,12,3263.69,0.0,3263.69,1292.2,Direct
ORD-1129,2023-07-30,Middle East,Electronics,Smartphone X,645.67,8,5165.36,0.0,5165.36,2643.56,Direct
ORD-1075,2023-07-31,Middle East,Software,Security Firewall,109.93,3,329.8,0.1,296.82,70.93,Direct
ORD-1122,2023-08-02,Asia-Pacific,Furniture,Modern Sofa,109.64,10,1096.44,0.1,986.8,507.22,Online Retail
ORD-1056,2023-08-03,North America,Office Supplies,Whiteboard Pack,341.05,10,3410.53,0.0,3410.53,1779.58,Direct
ORD-1013,2023-08-04,Middle East,Furniture,Dining Set,124.39,3,373.18,0.0,373.18,210.52,Enterprise
ORD-1078,2023-08-05,Asia-Pacific,Furniture,Modern Sofa,44.13,9,397.21,0.0,397.21,205.75,Direct
ORD-1149,2023-08-05,Middle East,Furniture,Dining Set,194.68,3,584.04,0.1,525.63,151.95,Online Retail
ORD-1008,2023-08-06,LATAM,Office Supplies,Mechanical Keyboard,372.13,8,2977.04,0.0,2977.04,1321.06,Online Retail
ORD-1016,2023-08-10,Middle East,Furniture,Coffee Table,225.14,13,2926.81,0.0,2926.81,1688.5,Direct
ORD-1051,2023-08-10,Middle East,Furniture,Bookshelf,380.68,4,1522.7,0.0,1522.7,742.49,Online Retail
ORD-1083,2023-08-10,Asia-Pacific,Electronics,Smartphone X,654.05,7,4578.34,0.1,4120.5,1437.17,Enterprise
ORD-1179,2023-08-10,Middle East,Electronics,Laptop Pro,332.44,4,1329.76,0.0,1329.76,677.8,Enterprise
ORD-1226,2023-08-12,North America,Furniture,Dining Set,47.81,3,143.44,0.0,143.44,58.41,Online Retail
ORD-1023,2023-08-12,North America,Electronics,Noise-Cancelling Headphones,302.14,12,3625.68,0.0,3625.68,1574.02,Online Retail
ORD-1073,2023-08-12,LATAM,Software,Security Firewall,174.82,12,2097.86,0.05,1992.97,909.46,Direct
ORD-1206,2023-08-13,Asia-Pacific,Office Supplies,Whiteboard Pack,365.43,7,2558.03,0.05,2430.13,1120.79,Enterprise
ORD-1098,2023-08-16,Europe,Furniture,Dining Set,184.03,3,552.09,0.0,552.09,275.36,Enterprise
ORD-1244,2023-08-18,Europe,Furniture,Bookshelf,143.25,3,429.74,0.0,429.74,251.1,Enterprise
ORD-1208,2023-08-19,North America,Software,CRM Enterprise,123.59,11,1359.44,0.0,1359.44,652.92,Reseller
ORD-1061,2023-08-21,Asia-Pacific,Software,Cloud Storage Sub,480.56,4,1922.24,0.0,1922.24,788.98,Reseller
ORD-1064,2023-08-23,Asia-Pacific,Office Supplies,Standing Desk,281.45,10,2814.51,0.05,2673.79,1462.6,Enterprise
ORD-1048,2023-08-25,Middle East,Electronics,Smartwatch Elite,924.79,5,4623.96,0.05,4392.76,1961.11,Direct
ORD-1095,2023-08-26,Asia-Pacific,Furniture,Dining Set,349.54,6,2097.25,0.0,2097.25,1105.79,Direct
ORD-1205,2023-08-31,Asia-Pacific,Office Supplies,Mechanical Keyboard,100.05,13,1300.67,0.0,1300.67,454.2,Direct
ORD-1040,2023-09-03,Middle East,Office Supplies,Standing Desk,327.84,9,2950.59,0.05,2803.06,1550.6,Online Retail
ORD-1024,2023-09-04,LATAM,Furniture,Coffee Table,110.3,6,661.81,0.0,661.81,271.55,Enterprise
ORD-1053,2023-09-04,Europe,Electronics,Smartwatch Elite,818.22,4,3272.9,0.0,3272.9,1582.61,Enterprise
ORD-1058,2023-09-06,LATAM,Office Supplies,Ergonomic Chair,236.04,3,708.11,0.2,566.49,195.59,Direct
ORD-1052,2023-09-07,Asia-Pacific,Office Supplies,Whiteboard Pack,224.96,13,2924.52,0.0,2924.52,1692.8,Direct
ORD-1204,2023-09-07,Middle East,Office Supplies,Whiteboard Pack,351.9,2,703.8,0.1,633.42,213.6,Enterprise
ORD-1159,2023-09-08,Middle East,Electronics,Laptop Pro,1129.22,11,12421.41,0.2,9937.13,3661.66,Enterprise
ORD-1071,2023-09-09,Middle East,Software,Design Suite,486.19,2,972.37,0.0,972.37,520.18,Reseller
ORD-1133,2023-09-12,Middle East,Software,CRM Enterprise,409.96,3,1229.89,0.15,1045.4,348.04,Direct
ORD-1076,2023-09-13,Middle East,Furniture,Modern Sofa,51.44,14,720.22,0.15,612.19,314.33,Online Retail
ORD-1166,2023-09-16,Middle East,Electronics,Laptop Pro,377.14,9,3394.26,0.15,2885.12,514.32,Reseller
ORD-1026,2023-09-16,LATAM,Software,Design Suite,57.46,3,172.39,0.1,155.15,68.16,Enterprise
ORD-1233,2023-09-20,LATAM,Office Supplies,Standing Desk,90.14,8,721.14,0.1,649.02,320.5,Direct
ORD-1134,2023-09-21,Europe,Furniture,Dining Set,294.46,8,2355.69,0.1,2120.12,497.53,Enterprise
ORD-1131,2023-09-21,Middle East,Furniture,Coffee Table,161.86,10,1618.58,0.15,1375.79,472.67,Reseller
ORD-1227,2023-09-22,Asia-Pacific,Electronics,Laptop Pro,695.04,6,4170.22,0.15,3544.68,858.52,Enterprise
ORD-1168,2023-09-26,Middle East,Furniture,Modern Sofa,360.07,5,1800.35,0.0,1800.35,606.29,Direct
ORD-1033,2023-10-04,LATAM,Software,Security Firewall,432.15,1,432.15,0.0,432.15,188.95,Enterprise
ORD-1090,2023-10-04,Middle East,Office Supplies,Whiteboard Pack,87.26,5,436.32,0.0,436.32,191.84,Online Retail
ORD-1224,2023-10-06,Asia-Pacific,Electronics,Noise-Cancelling Headphones,276.22,6,1657.32,0.05,1574.45,748.25,Direct
ORD-1241,2023-10-07,LATAM,Office Supplies,Standing Desk,295.25,10,2952.49,0.15,2509.61,644.27,Enterprise
ORD-1154,2023-10-09,Middle East,Office Supplies,Mechanical Keyboard,32.9,5,164.5,0.05,156.27,80.97,Reseller
ORD-1118,2023-10-10,Middle East,Software,Design Suite,458.8,6,2752.82,0.0,2752.82,1301.86,Online Retail
ORD-1212,2023-10-11,North America,Furniture,Modern Sofa,272.25,5,1361.23,0.1,1225.11,392.56,Reseller
ORD-1085,2023-10-13,Asia-Pacific,Furniture,Coffee Table,152.34,6,914.02,0.0,914.02,298.76,Online Retail
ORD-1210,2023-10-14,Asia-Pacific,Office Supplies,Standing Desk,84.51,10,845.08,0.0,845.08,337.34,Online Retail
ORD-1039,2023-10-15,Europe,Furniture,Coffee Table,353.4,1,353.4,0.1,318.06,162.22,Online Retail
ORD-1112,2023-10-15,Asia-Pacific,Electronics,Laptop Pro,934.99,1,934.99,0.0,934.99,308.67,Direct
ORD-1115,2023-10-16,LATAM,Office Supplies,Mechanical Keyboard,207.71,10,2077.13,0.0,2077.13,734.52,Online Retail
ORD-1194,2023-10-16,North America,Electronics,Laptop Pro,1015.74,10,10157.4,0.0,10157.4,5690.02,Direct
ORD-1231,2023-10-17,Middle East,Software,Security Firewall,178.19,11,1960.12,0.15,1666.1,569.07,Direct
ORD-1240,2023-10-18,Middle East,Office Supplies,Standing Desk,182.72,7,1279.01,0.05,1215.06,697.39,Online Retail
ORD-1138,2023-10-20,North America,Office Supplies,Ergonomic Chair,103.41,10,1034.14,0.1,930.73,473.6,Enterprise
ORD-1214,2023-10-20,LATAM,Office Supplies,Ergonomic Chair,66.4,6,398.41,0.0,398.41,228.46,Direct
ORD-1002,2023-10-21,Europe,Software,Security Firewall,327.87,10,3278.67,0.0,3278.67,1542.34,Direct
ORD-1217,2023-10-21,LATAM,Furniture,Dining Set,137.01,2,274.03,0.0,274.03,109.05,Online Retail
ORD-1029,2023-10-31,LATAM,Electronics,Smartphone X,814.76,9,7332.81,0.0,7332.81,2859.01,Enterprise
ORD-1174,2023-10-31,North America,Electronics,Noise-Cancelling Headphones,882.35,10,8823.45,0.0,8823.45,3443.82,Direct
ORD-1163,2023-11-01,North America,Software,Security Firewall,480.39,5,2401.94,0.1,2161.74,1136.54,Enterprise
ORD-1108,2023-11-01,Middle East,Office Supplies,Whiteboard Pack,175.24,5,876.18,0.05,832.38,235.25,Enterprise
ORD-1181,2023-11-02,Middle East,Software,Security Firewall,108.54,13,1411.0,0.0,1411.0,818.82,Reseller
ORD-1113,2023-11-05,Asia-Pacific,Furniture,Coffee Table,377.14,7,2639.95,0.05,2507.96,902.56,Online Retail
ORD-1079,2023-11-07,LATAM,Electronics,Smartphone X,937.41,3,2812.22,0.0,2812.22,1038.56,Reseller
ORD-1213,2023-11-08,LATAM,Furniture,Coffee Table,98.22,13,1276.86,0.0,1276.86,388.15,Online Retail
ORD-1123,2023-11-09,North America,Furniture,Bookshelf,106.41,5,532.05,0.0,532.05,200.44,Reseller
ORD-1041,2023-11-09,LATAM,Electronics,Smartwatch Elite,224.49,14,3142.83,0.1,2828.55,732.27,Direct
ORD-1074,2023-11-12,Europe,Software,Security Firewall,488.48,11,5373.25,0.05,5104.59,2091.12,Direct
ORD-1120,2023-11-12,Asia-Pacific,Software,Security Firewall,463.44,5,2317.19,0.15,1969.61,551.09,Enterprise
ORD-1196,2023-11-13,Asia-Pacific,Furniture,Bookshelf,375.76,7,2630.32,0.05,2498.81,1210.87,Direct
ORD-1035,2023-11-13,Asia-Pacific,Software,Design Suite,340.46,1,340.46,0.2,272.37,88.19,Enterprise
ORD-1160,2023-11-14,Middle East,Software,Cloud Storage Sub,443.15,9,3988.39,0.1,3589.55,1494.33,Enterprise
ORD-1190,2023-11-15,Middle East,Electronics,Laptop Pro,604.91,13,7863.82,0.0,7863.82,3622.24,Enterprise
ORD-1105,2023-11-16,Middle East,Office Supplies,Standing Desk,202.83,11,2231.17,0.0,2231.17,1091.56,Reseller
ORD-1191,2023-11-16,Europe,Office Supplies,Standing Desk,294.32,11,3237.49,0.05,3075.62,945.23,Reseller
ORD-1102,2023-11-18,LATAM,Software,Design Suite,52.39,6,314.31,0.0,314.31,172.47,Enterprise
